Kp,Ki,Kd,RiseTime,Overshoot,SettlingTime,SS_Error
20,0,0,0.327076902785752,2.00268654062057,1.69237218119544,0.33355548068472
20,0,0.5,0.32876405955917,0.750086614055934,1.49865125440496,0.333550165346806
20,0,1,0.34245529246605,0.10835749767435,1.54895035492392,0.333546155981324
20,0,1.5,0.349985389602621,0.00473583585096637,1.60339310340068,0.333540584832899
20,0,2,0.352131799081699,0.00467986724339564,1.65531662236927,0.333539100392009
20,0,2.5,0.349271521754102,0.00580731880552854,1.69750165882982,0.333535910269285
20,0,3,0.34232255413144,0.00828270373753881,1.72884128820559,0.333529618132953
20,0,3.5,0.329473863290679,0.00846269782466269,1.75343064292463,0.333532420048917
20,0,4,0.310974183850311,0.00967124953088483,1.76875364712994,0.333524369660342
20,0,4.5,0.285971065826204,0.00887603067574183,1.77642058787349,0.333522777626814
20,0,5,0.256150684734601,0.01272202277387,1.77468154725787,0.333524179284335
20,20,0,1.007814834867,0,3.72051228686442,0.0163840901151233
20,20,0.5,1.04854791871078,0,3.72104633039206,0.0126372915126634
20,20,1,1.10048580615773,0,3.72178752653892,0.0122025588843923
20,20,1.5,1.15055619522749,0,3.72208134553478,0.0120371934660621
20,20,2,1.19808294047174,0,3.7246758590416,0.0115651878006343
20,20,2.5,1.24371973360004,0,3.72659432040082,0.0113684840788454
20,20,3,1.28719337766555,0,3.72953236677276,0.0107775377273633
20,20,3.5,1.3292851814339,0,3.73491996996444,0.0104968752424942
20,20,4,1.37074647808997,0,3.7411795856192,0.00981915629589558
20,20,4.5,1.41116433711428,0,3.75221301929425,0.00942709804845443
20,20,5,1.45063871886319,0,3.76415774797419,0.00896252430741029
20,40,0,0.401413992478355,1.69925841766374,1.5867435477542,1.31004522141431e-06
20,40,0.5,0.439772869968403,1.06367270728203,1.66900301120835,2.51211673083507e-05
20,40,1,0.493236215379447,1.12096217439981,1.75320671437161,3.30369058236801e-05
20,40,1.5,0.542878715337884,1.31883157354706,1.82470791708561,2.10566679899049e-05
20,40,2,0.587806706796189,1.52226542658673,1.88555500045683,2.85341128684058e-05
20,40,2.5,0.629011230368159,1.71713203476382,1.9385376723565,0.000109576770878972
20,40,3,0.66626879504636,1.90222605087882,1.98661298619836,0.000223174666988624
20,40,3.5,0.701040066346112,2.07653231566496,2.79168441377618,0.000361653875204038
